Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Daniels (00-0039910),J.Cook (00-0037248),J.Gibbs (00-0039139),T.McLaurin (00-0035659),N.Collins (00-0036554),J.Williams (00-0037240),T.Kelce (00-0030506),,Atlanta Falcons Defense (DST_ATL),59995,153.0,200.0,0.41
2,J.Daniels (00-0039910),J.Cook (00-0037248),J.Gibbs (00-0039139),R.Bateman (00-0036550),N.Collins (00-0036554),J.Williams (00-0037240),T.Kelce (00-0030506),,Atlanta Falcons Defense (DST_ATL),59973,152.7,199.9,0.41
3,J.Daniels (00-0039910),J.Cook (00-0037248),J.Gibbs (00-0039139),R.Bateman (00-0036550),J.Williams (00-0037240),J.Wayne (00-0038728),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59920,152.33,199.7,0.41
4,J.Daniels (00-0039910),J.Cook (00-0037248),J.Gibbs (00-0039139),T.McLaurin (00-0035659),J.Williams (00-0037240),J.Wayne (00-0038728),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59892,152.13,199.6,0.41
5,J.Daniels (00-0039910),D.Henry (00-0032764),J.Gibbs (00-0039139),T.McLaurin (00-0035659),R.Bateman (00-0036550),J.Williams (00-0037240),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59881,152.1,199.6,0.41
