Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Daniels (00-0039910),D.Henry (00-0032764),J.Gibbs (00-0039139),J.Williams (00-0037240),J.Dotson (00-0037741),X.Worthy (00-0039894),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59963,152.4,199.9,0.41
2,J.Hurts (00-0036389),D.Henry (00-0032764),J.Gibbs (00-0039139),K.Shakir (00-0037261),J.Metchie (00-0037614),X.Worthy (00-0039894),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59994,152.35,200.0,0.41
3,J.Daniels (00-0039910),D.Henry (00-0032764),J.Gibbs (00-0039139),K.Shakir (00-0037261),J.Dotson (00-0037741),X.Worthy (00-0039894),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59990,152.35,200.0,0.41
4,J.Daniels (00-0039910),D.Henry (00-0032764),J.Gibbs (00-0039139),K.Shakir (00-0037261),J.Dotson (00-0037741),X.Worthy (00-0039894),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59592,151.55,198.6,0.41
5,J.Daniels (00-0039910),D.Henry (00-0032764),J.Gibbs (00-0039139),S.Sims (00-0034928),A.Brown (00-0035676),X.Worthy (00-0039894),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59994,151.46,200.0,0.41
